delivery_date,delivery_count,avg_delivery_time,avg_sla_ratio,total_refund,delivery_time_ma7,refund_ma7,cumulative_deliveries,cumulative_refund
2026-07-01,2,35.0,1.1666666666666665,120,35.0,120.0,2,120
2026-07-02,2,40.0,1.3333333333333333,200,37.5,160.0,4,320
2026-07-03,2,26.5,0.8833333333333333,0,33.833333333333336,106.66666666666667,6,320
2026-07-04,2,48.0,1.6,300,37.375,155.0,8,620
2026-07-05,2,31.0,1.0333333333333334,0,36.1,124.0,10,620
2026-07-06,2,29.0,0.9666666666666668,0,34.916666666666664,103.33333333333333,12,620
2026-07-07,2,9.0,0.30000000000000004,-50,31.214285714285715,81.42857142857143,14,570
2026-07-08,2,34.0,1.1333333333333333,100,31.071428571428573,78.57142857142857,16,670
2026-07-09,2,38.0,1.2666666666666666,80,30.785714285714285,61.42857142857143,18,750
2026-07-10,2,33.5,1.1166666666666667,90,31.785714285714285,74.28571428571429,20,840
2026-07-11,2,44.5,1.4833333333333334,250,31.285714285714285,67.14285714285714,22,1090
2026-07-12,2,28.5,0.95,0,30.928571428571427,67.14285714285714,24,1090
2026-07-13,2,35.5,1.1833333333333336,110,31.857142857142858,82.85714285714286,26,1200
2026-07-14,2,37.5,1.25,140,35.92857142857143,110.0,28,1340
2026-07-15,2,36.5,1.2166666666666668,180,36.285714285714285,121.42857142857143,30,1520
